ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
459,29.85,22.39,11.94,35.82,20,15,8,24,67,46.48,28.25,25.27,0,42.61,25.9,23.17,0,91.685,43.32,29.92,26.76,0,29.02,20.05,17.93,0,67,0.88,0.07,0.05,0.00125498,0.00214061
460,66.67,5.56,5.56,22.22,48,4,4,16,72,75.98,14.77,9.26,0,67.68,13.19,8.27,0,89.142,76.79,12.42,10.79,0,55.29,8.94,7.77,0,72,1,0,0,0.00531675,0.0140782
461,8.33,3.7,2.78,85.19,9,4,3,92,108,34.16,37.05,28.78,0,29.91,32.47,25.23,0,87.613,35.06,34.51,30.44,0,37.86,37.27,32.87,0,108,0.42,0.38,0.2,0.00114997,0.0014806
462,26.67,1.33,0,72,20,1,0,54,75,45.13,33.6,21.27,0,13.04,9.7,6.13,0,28.87,62.16,22.14,15.7,0,46.62,16.61,11.77,0,75,1,0,0,0.00350467,0.0106425
463,50,12.5,4.17,33.33,24,6,2,16,48,41.53,30.41,28.07,0,12.62,9.29,8.55,0,30.456,60.99,21.15,17.86,0,29.28,10.15,8.57,0,48,1,0,0,0.00567694,0.00825653
464,63.04,10.87,4.35,21.74,29,5,2,10,46,58.6,22.31,19.09,0,61.9,23.59,20.2,0,105.684,73.86,18.14,8,0,33.98,8.35,3.68,0,46,1,0,0,0.00920161,0.0121443
465,60.61,10.61,1.52,27.27,40,7,1,18,66,48.6,27.25,24.15,0,32.75,18.39,16.3,0,67.432,71.22,15.83,12.95,0,47,10.45,8.55,0,66,1,0,0,0.00631485,0.0122409
466,56.25,5,2.5,36.25,45,4,2,29,80,42.67,32.76,24.58,0,12.78,9.81,7.43,0,30.017,70.76,15.13,14.11,0,56.61,12.11,11.29,0,80,1,0,0,0.00588376,0.0121259
467,21.79,17.95,12.82,47.44,17,14,10,37,78,35.64,40.21,24.15,0,14.41,16.27,9.8,0,40.47,39.36,33.88,26.77,0,30.7,26.42,20.88,0,78,0.68,0.23,0.1,0.00119714,0.00181118
468,20.27,9.46,8.11,62.16,15,7,6,46,74,40.85,30.37,28.78,0,37.48,27.88,26.39,0,91.754,43.9,30.7,25.41,0,32.48,22.72,18.8,0,74,0.91,0.06,0.03,0.001324,0.00238095
469,19.7,10.61,6.06,63.64,13,7,4,42,66,43.84,31.4,24.76,0,15.47,11.07,8.73,0,35.27,46.61,27.96,25.43,0,30.76,18.46,16.78,0,66,0.96,0.02,0.02,0.00104207,0.00350353
470,60,2.22,2.22,35.56,27,1,1,16,45,53.18,33.76,13.06,0,13.11,8.34,3.25,0,24.705,68.93,16.76,14.31,0,31.02,7.54,6.44,0,45,1,0,0,0.00554595,0.0106562
471,100,0,0,0,14,0,0,0,14,97.53,1.35,1.12,0,87.24,1.21,1,0,89.45,100,0,0,0,14,0,0,0,14,1,0,0,0.0180736,0.018894
472,17.31,15.38,9.62,57.69,9,8,5,30,52,26,44.4,29.6,0,7.39,12.56,8.4,0,28.348,37.05,34.02,28.93,0,19.27,17.69,15.05,0,52,0.49,0.32,0.19,7.76492e-4,5.84517e-4
473,87.72,1.75,0,10.53,50,1,0,6,57,85.85,7.81,6.34,0,82.6,7.53,6.11,0,96.243,91.42,4.48,4.1,0,52.11,2.55,2.34,0,57,1,0,0,0.0166199,0.0208192
474,73.68,3.51,3.51,19.3,42,2,2,11,57,46.72,29.9,23.38,0,22.13,14.23,11.11,0,47.463,81.51,11.06,7.43,0,46.46,6.3,4.24,0,57,1,0,0,0.0114366,0.017723
475,73.58,7.55,5.66,13.21,39,4,3,7,53,54.07,24.78,21.15,0,50.18,23.04,19.66,0,92.875,77.47,15.14,7.4,0,41.06,8.02,3.92,0,53,1,0,0,0.00821991,0.0157282
476,54.05,16.22,8.11,21.62,20,6,3,8,37,51.52,26.22,22.26,0,27.64,14.08,11.97,0,53.686,61.75,21.93,16.32,0,22.85,8.11,6.04,0,37,1,0,0,0.00700992,0.0077351
477,22.22,33.33,27.78,16.67,4,6,5,3,18,26.46,48.83,24.71,0,3.94,7.23,3.7,0,14.86,27.79,38.81,33.4,0,5,6.99,6.01,0,18,0.22,0.47,0.31,0.00110272,0.00665581
478,79.31,3.45,0,17.24,23,1,0,5,29,62.85,19.71,17.43,0,27.99,8.83,7.8,0,44.618,89.62,5.2,5.18,0,25.99,1.51,1.5,0,29,1,0,0,0.0119365,0.016388
479,36.36,31.82,22.73,9.09,16,14,10,4,44,33.82,47.2,18.99,0,29.89,41.69,16.79,0,88.365,38.7,35.68,25.61,0,17.03,15.7,11.27,0,44,0.53,0.34,0.13,0.00106777,0.00161623
480,96.92,0,0,3.08,63,0,0,2,65,88.54,6.41,5.05,0,289.48,20.96,16.54,0,326.982,98.47,1.48,0.05,0,64,0.96,0.03,0,65,1,0,0,0.0279109,0.039094
481,10.67,5.33,1.33,82.67,8,4,1,62,75,34.18,43.46,22.36,0,25.99,33.1,17,0,76.084,42.63,33.78,23.6,0,31.97,25.33,17.7,0,75,0.85,0.12,0.04,8.72496e-4,0.00225255
482,47.76,7.46,1.49,43.28,32,5,1,29,67,57.55,23.89,18.56,0,48.06,19.96,15.51,0,83.524,62.07,24.28,13.65,0,41.59,16.27,9.15,0,67,1,0,0,0.00638515,0.00595331
483,40,13.33,11.67,35,24,8,7,21,60,54,23,23,0,54.87,23.41,23.41,0,101.692,48.38,29.04,22.57,0,29.03,17.43,13.54,0,60,0.97,0.02,0.01,0.00253049,0.00268023
484,44.44,13.89,5.56,36.11,16,5,2,13,36,34.3,47.02,18.69,0,13.19,18.01,7.16,0,38.354,56.07,28.46,15.47,0,20.19,10.25,5.57,0,36,0.99,0.01,0,0.0025305,0.00227863
485,94.17,0.97,0,4.85,97,1,0,5,103,88.91,6.39,4.69,0,622.58,44.79,32.86,0,700.221,96.05,3.12,0.82,0,98.93,3.22,0.85,0,103,1,0,0,0.020981,0.036424
486,97.94,0.52,0,1.55,190,1,0,3,194,85.77,9.56,4.67,0,171.96,19.18,9.38,0,200.512,99.06,0.79,0.14,0,192.18,1.54,0.28,0,194,1,0,0,0.0289528,0.0581636
487,44.69,29.05,25.14,1.12,80,52,45,2,179,29.01,49.97,21.02,0,5.93,10.22,4.3,0,20.446,45.25,29.33,25.42,0,81,52.5,45.5,0,179,1,0,0,0.00231726,0.00633978
488,90.11,4.95,1.1,3.85,164,9,2,7,182,96.94,1.95,1.11,0,525,10.55,6.03,0,541.578,93.13,5.22,1.66,0,169.49,9.49,3.01,0,182,1,0,0,0.00749007,0.0323239
489,97.06,0,0,2.94,99,0,0,3,102,99.26,0.61,0.14,0,661.9,4.04,0.92,0,666.864,98.94,1.04,0.02,0,100.92,1.06,0.02,0,102,1,0,0,0.027704,0.0378944
490,70.1,0.52,0,29.38,136,1,0,57,194,66.81,18.65,14.54,0,85.94,24.04,18.73,0,128.717,90.37,6.34,3.29,0,175.31,12.3,6.39,0,194,1,0,0,0.0103681,0.0291581
491,52.72,1.09,1.09,45.11,97,2,2,83,184,52.63,28.51,18.86,0,15.77,8.6,5.68,0,30.05,78.72,11.54,9.73,0,144.85,21.24,17.91,0,184,1,0,0,0.00568817,0.0176246
492,10.27,8.9,2.74,78.08,15,13,4,114,146,36.75,35.59,27.66,0,22.88,22.13,17.2,0,62.204,39.15,30.58,30.27,0,57.15,44.65,44.2,0,146,0.82,0.09,0.09,0.0010967,0.00199173
493,6.54,3.92,1.31,88.24,10,6,2,135,153,37.77,35.02,27.21,0,48.45,44.91,34.93,0,128.291,37.55,31.45,31,0,57.45,48.13,47.43,0,153,0.7,0.16,0.14,8.40883e-4,0.00125389
494,0.5,1.01,1.01,97.49,1,2,2,194,199,34.86,34.12,31.02,0,33.96,33.22,30.21,0,97.381,36.14,34.21,29.64,0,71.92,68.08,58.99,0,199,0.57,0.31,0.12,7.52036e-4,7.01344e-4
495,4.35,0.54,0,95.11,8,1,0,175,184,44.1,30.93,24.98,0,47.69,33.52,27.02,0,108.224,37.13,33.71,29.16,0,68.32,62.02,53.66,0,184,0.67,0.23,0.1,0.00103901,9.3155e-4
496,14.97,7.19,5.99,71.86,25,12,10,120,167,41.55,38.05,20.4,0,44.33,40.67,21.76,0,106.757,39.06,34.63,26.3,0,65.24,57.83,43.93,0,167,0.79,0.17,0.04,0.00162938,0.00203151
497,77.71,4.22,3.01,15.06,129,7,5,25,166,87.29,7.18,5.53,0,541.58,44.52,34.34,0,620.443,84.86,9.09,6.06,0,140.86,15.08,10.06,0,166,1,0,0,0.00767249,0.0207839
498,1.56,2.6,0,95.83,3,5,0,184,192,28.79,46.77,24.43,0,21.68,35.12,18.39,0,75.187,38.44,34.32,27.24,0,73.8,65.9,52.31,0,192,0.77,0.18,0.05,5.97194e-4,0.00119873
499,3.91,5.03,3.35,87.71,7,9,6,157,179,20.86,50.63,28.51,0,17.7,43.07,24.21,0,84.98,34.19,34.66,31.16,0,61.19,62.04,55.77,0,179,0.38,0.43,0.2,4.18538e-4,3.69018e-4
500,52.15,3.07,1.23,43.56,85,5,2,71,163,81.74,9.37,8.88,0,453.7,52.04,49.32,0,555.052,74.16,14,11.84,0,120.88,22.82,19.3,0,163,1,0,0,0.00592179,0.012843
501,15,1.88,1.25,81.88,24,3,2,131,160,32.87,39.85,27.28,0,67.26,81.56,55.82,0,204.638,36.58,33.72,29.7,0,58.53,53.95,47.51,0,160,0.59,0.27,0.13,0.00200436,6.53677e-4
502,12.95,0.52,0,86.53,25,1,0,167,193,58.93,24.21,16.87,0,36.71,15.09,10.53,0,62.323,51.94,26.69,21.38,0,100.24,51.51,41.26,0,193,1,0,0,0.00209283,0.00494406
503,7.27,9.7,1.82,81.21,12,16,3,134,165,34.43,39.77,25.8,0,29.21,33.82,21.93,0,84.964,37.85,31.36,30.79,0,62.45,51.74,50.81,0,165,0.74,0.13,0.12,7.37742e-4,0.00120963
504,12.18,5.13,3.21,79.49,19,8,5,124,156,42.87,32.94,24.18,0,70.55,54.21,39.8,0,164.564,44.72,30.37,24.91,0,69.76,47.38,38.86,0,156,0.99,0,0,0.00166729,0.0027886
505,21.43,8.33,4.76,65.48,36,14,8,110,168,48.84,30.2,20.96,0,91.1,56.35,39.12,0,186.57,49.07,28.43,22.5,0,82.43,47.77,37.8,0,168,1,0,0,0.00166978,0.00413765
506,22.64,23.9,11.32,42.14,36,38,18,67,159,36.34,36.97,26.7,0,24.35,24.74,17.87,0,66.96,38.75,39.02,22.23,0,61.61,62.05,35.34,0,159,0.46,0.52,0.02,0.00103945,0.00268086
507,86.3,2.05,0,11.64,126,3,0,17,146,95.22,3.25,1.53,0,547.2,18.68,8.82,0,574.692,93.21,5.42,1.37,0,136.08,7.92,2,0,146,1,0,0,0.00909424,0.0308701
