ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
533,80.63,4.19,3.66,11.52,154,8,7,22,191,79.68,12.01,8.31,0,159.98,24.14,16.7,0,200.814,100,100,0.00795537
534,81.68,0,0,18.32,156,0,0,35,191,79.36,14.29,6.35,0,36.86,6.69,2.98,0,46.528,100,100,0.0126194
535,17.51,14.12,7.34,61.02,31,25,13,108,177,56.48,22.85,20.67,0,54.6,22.11,19.99,0,96.697,98.4,100,7.82713e-4
536,11.17,8.94,5.59,74.3,20,16,10,133,179,49.5,25.82,24.68,0,44.54,23.25,22.24,0,90.019,94.4,100,7.47802e-4
537,10.27,2.16,1.62,85.95,19,4,3,159,185,61,20.03,18.96,0,29.2,9.6,9.1,0,47.905,100,100,0.00141596
538,3.68,1.05,1.05,94.21,7,2,2,179,190,48.36,27.58,24.05,0,12.07,6.9,6.03,0,25.001,97.8,100,5.07164e-4
539,8.5,4.58,0.65,86.27,13,7,1,132,153,34.81,45.02,20.16,0,9.63,12.49,5.6,0,27.712,91.7,64,4.79988e-4
540,26.28,4.38,2.19,67.15,36,6,3,92,137,59.95,24.13,15.93,0,69.24,27.88,18.4,0,115.513,99.9,100,0.0011578
541,4.65,2.91,1.16,91.28,8,5,2,157,172,19.88,48.9,31.22,0,6.28,15.45,9.89,0,31.62,59.3,63,3.82628e-4
542,6.13,14.72,11.66,67.48,10,24,19,110,163,38.41,33.8,27.79,0,34.4,30.25,24.87,0,89.521,9.5,93,4.39819e-4
543,6.42,2.67,0.53,90.37,12,5,1,169,187,35.21,40.92,23.88,0,16.21,18.82,11.01,0,46.034,88.3,100,5.22032e-4
544,3.09,5.56,1.85,89.51,5,9,3,145,162,44.4,31.62,23.98,0,22.54,16.06,12.2,0,50.807,59.5,99,2.94811e-4
545,10.2,9.52,2.04,78.23,15,14,3,115,147,46.06,28.58,25.37,0,44.65,27.72,24.59,0,96.96,87.1,99,5.43506e-4
546,97.74,0,0,2.26,173,0,0,4,177,94,3.79,2.2,0,203.48,8.22,4.77,0,216.476,100,100,0.0181719
547,90.4,3.39,2.26,3.95,160,6,4,7,177,80.95,10.46,8.59,0,68.67,8.89,7.3,0,84.862,100,100,0.00765302
548,29.35,15.76,13.59,41.3,54,29,25,76,184,22.66,49.15,28.19,0,3.2,6.98,3.98,0,14.159,99.8,100,0.00149028
549,34.1,23.7,12.72,29.48,59,41,22,51,173,49.77,26.11,24.13,0,109.98,57.7,53.32,0,221.002,99.3,100,0.00126969
