"","name","n"
"92","RUTA_Cneorum_tricoccon_IDS10515","18"
"93","RUTA_Coatesia_paniculata_IDS10483","X"
"94","RUTA_Coleonema_pulchellum_IDS10805","17=0.5_18=0.5"
"95","RUTA_Comptonella_microcarpa_IDS10555","18"
"96","RUTA_Conchocarpus_macrophyllus_IDS11777","X"
"97","RUTA_Correa_speciosa_IDS10517","16"
"98","RUTA_Crowea_exaltata_IDS10813","19"
"99","RUTA_Decagonocarpus_oppositifolius_IDS11779","X"
"100","RUTA_Decatropis_bicolor_IDS11781","X"
"101","RUTA_Decazyx_macrophyllus_IDS11783","X"
"102","RUTA_Dictamnus_albus_IDS10519","15=0.333_18=0.333_36=0.334"
"103","RUTA_Dictyoloma_vandellianum_IDS10557","X"
"104","RUTA_Dinosperma_erythrococcum_IDS10443","X"
"105","RUTA_Diosma_sabulosa_IDS10913","15"
"106","RUTA_Drummondita_hassellii_IDS10765","14"
"107","RUTA_Dutaillyea_trifoliata_IDS11785","X"
"108","RUTA_Empleurum_unicapsulare_IDS11791","X"
"109","RUTA_Ertela_trifolia_IDS11787","X"
"110","RUTA_Erythrochiton_brasiliensis_IDS10795","45=0.5_58=0.5"
"111","RUTA_Euchaetis_albertiana_IDS10915","14"
"112","RUTA_Euodia_hortensis_IDS10485","X"
"113","RUTA_Euodia_hylandii_GAP82433","X"
"114","RUTA_Fagaropsis_spec_IDS10487","X"
"115","RUTA_Flindersia_pimenteliana_IDS7778","54=0.5_18=0.5"
"116","RUTA_Galipea_trifoliata_IDS11789","X"
"117","RUTA_Geijera_linearifolia_IDS6484","54=0.5_81=0.5"
"118","RUTA_Geleznowia_verrucosa_GAP82673","14"
"119","RUTA_Glycosmis_pentaphylla_IDS6485","27=0.25_18=0.25_8=0.25_9=0.25"
"120","RUTA_Halfordia_kendack_GAP82679","X"
"121","RUTA_Haplophyllum_bungei_IDS10527","9=0.5_18=0.5"
"122","RUTA_Harrisonia_abyssinica_IDS10529","X"
"123","RUTA_Harrisonia_brownii_IDS6487","X"
"124","RUTA_Helietta_glaziovii_IDS11793","X"
"125","RUTA_Hortia_superba_IDS11795","X"
"126","RUTA_Ivodea_decaryana_IDS10489","X"
"127","RUTA_Leionema_ellipticum_IDS10445","16"
"128","RUTA_Limnocitrus_littoralis_IDS11797","X"
"129","RUTA_Limonia_acidissima_IDS11799","9"
"130","RUTA_Lubaria_aroensis_IDS11801","X"
"131","RUTA_Lunasia_amara_IDS6488","X"
"132","RUTA_Luvunga_monophylla_IDS10467","X"
"133","RUTA_Macrostylis_decipiens_IDS11805","X"
"134","RUTA_Medicosma_cunninghamii_IDS6489","X"
"135","RUTA_Melicope_broadbentiana_GAP83108","18=0.333_12=0.333_36=0.334"
"136","RUTA_Melicope_ternata_IDS10531","18=0.333_12=0.333_36=0.334"
"137","RUTA_Merope_angulata_IDS11809","X"
"138","RUTA_Merrillia_caloxylon_IDS11811","X"
"139","RUTA_Metrodorea_nigra_IDS10747","X"
"140","RUTA_Monanthocitrus_oblanceolata_IDS11813","X"
"141","RUTA_Muiriantha_hassellii_IDS11921","14"
"142","RUTA_Murraya_exotica_IDS6490","9=0.5_54=0.5"
"143","RUTA_Murraya_koenigii_IDS10799","9=0.5_54=0.5"
"144","RUTA_Myrtopsis_macrocarpa_IDS10493","X"
"145","RUTA_Nematolepis_squamea_IDS11815","16"
"146","RUTA_Neobyrnesia_suberosa_GAP82680","12"
"147","RUTA_Neoraputia_alba_IDS10749","X"
"148","RUTA_Nycticalanthus_speciosus_IDS11817","X"
"149","RUTA_Orixa_japonica_IDS10533","17=0.5_20=0.5"
"150","RUTA_Peltostigma_guatamalense_IDS11823","X"
"151","RUTA_Pentaceras_australe_IDS10495","X"
"152","RUTA_Phebalium_tuberculosum_GAP82674","32=0.5_16=0.5"
"153","RUTA_Phellodendron_amurense_IDS10535","14=0.2_33=0.2_38=0.2_39=0.2_40=0.2"
"154","RUTA_Philotheca_angustifolia_GAP82675","28=0.333_14=0.333_15=0.334"
"155","RUTA_Phyllosma_capensis_IDS11825","X"
"156","RUTA_Picrella_glandulosa_IDS10499","X"
"157","RUTA_Pilocarpus_pennatifolius_IDS10815","44=0.333_22=0.333_18=0.334"
"158","RUTA_Pitaviaster_haplophyllus_IDS10561","X"
"159","RUTA_Pleiospermium_alatum_IDS11827","X"
"160","RUTA_Plethadenia_granulata_IDS10501","X"
"161","RUTA_Psilopeganum_sinense_IDS10537","X"
"162","RUTA_Ptaeroxylon_obliquum_IDS10845","X"
"163","RUTA_Ptelea_trifoliata_IDS10539","18=0.5_21=0.5"
"164","RUTA_Raputia_heptaphylla_IDS11829","X"
"165","RUTA_Raputia_ulei_IDS11833","X"
"166","RUTA_Raputiarana_subsigmoidea_IDS11831","X"
"167","RUTA_Rauia_nodosa_IDS11835","X"
"168","RUTA_Ravenia_infelix_IDS10745","18"
"169","RUTA_Raveniopsis_ruellioides_IDS11839","X"
"170","RUTA_Rhadinothamnus_rudis_IDS10929","X"
"171","RUTA_Ruta_angustifolia_SRR7900860","18=0.143_20=0.143_9=0.143_36=0.143_38=0.143_39=0.143_40=0.142"
"172","RUTA_Ruta_graveolens_IDS10541","18=0.143_20=0.143_9=0.143_36=0.143_38=0.143_39=0.143_40=0.142"
"173","RUTA_Sarcomelicope_simplicifolia_IDS10791","X"
"174","RUTA_Sheilanthera_pubens_IDS11879","X"
"175","RUTA_Skimmia_japonica_IDS10543","15=0.25_16=0.25_30=0.25_8=0.25"
"176","RUTA_Sohnreyia_terminalioides_IDS10563","X"
"177","RUTA_Spathelia_splendens_IDS10565","X"
"178","RUTA_Spiranthera_odoratissima_IDS11881","X"
"179","RUTA_Stauranthus_perforatus_IDS11883","X"
"180","RUTA_Swinglea_glutinosa_IDS11885","9"
"181","RUTA_Tetractomia_tetrandra_IDS10503","X"
"182","RUTA_Tetradium_daniellii_IDS10793","36=0.2_38=0.2_39=0.2_40=0.2_18=0.2"
"183","RUTA_Thamnosma_texana_IDS11841","10=0.5_9=0.5"
"184","RUTA_Ticorea_xxoetida_IDS11887","X"
"185","RUTA_Toxosiphon_lindenii_IDS11889","X"
"186","RUTA_Triphasia_brassii_IDS7775","9"
"187","RUTA_Vepris_lanceolata_IDS10807","36"
"188","RUTA_Zanthoxylum_nitidum_SRR10861972","32=0.091_34=0.091_68=0.091_33=0.091_53=0.091_35=0.091_66=0.091_36=0.091_12=0.091_18=0.091_72=0.09"
