ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
470,9.09,7.73,7.73,75.45,20,17,17,166,220,31.12,38.92,29.96,0,45.77,57.18,44.03,0,146.98,34.83,33.36,31.81,0,76.62,73.39,69.99,0,220,0.47,0.31,0.22,0.00118715,0.0557163
471,63.91,1.18,0,34.91,108,2,0,59,169,51.4,24.35,24.25,0,55.63,26.39,26.3,0,108.318,78.24,12.14,9.62,0,132.23,20.52,16.26,0,169,1,0,0,0.0202342,0.202583
472,88.21,0.47,0.47,10.85,187,1,1,23,212,69.63,18.41,11.95,0,63.5,16.83,10.93,0,91.26,94.03,3.46,2.51,0,199.35,7.33,5.32,0,212,1,0,0,0.038545,0.40585
473,8.1,6.69,2.11,83.1,23,19,6,236,284,41.02,34.93,24.05,0,24.77,21.1,14.56,0,60.418,33.87,35.42,30.71,0,96.18,100.59,87.23,0,284,0.31,0.54,0.14,0.0013753,0.0180967
474,10.16,4.47,4.07,81.3,25,11,10,200,246,33.2,36.86,29.93,0,36.86,40.93,33.26,0,111.051,38.74,30.79,30.47,0,95.3,75.75,74.94,0,246,0.9,0.05,0.05,0.00165668,0.0190027
475,27.15,13.12,6.79,52.94,60,29,15,117,221,49.4,31.32,19.28,0,170.06,107.84,66.38,0,344.274,46,29.27,24.72,0,101.67,64.7,54.63,0,221,1,0,0,0.00463508,0.0363184
476,3.06,5.44,4.76,86.73,9,16,14,255,294,39.81,32.14,28.04,0,32.2,26.04,22.7,0,80.933,32.96,34.72,32.32,0,96.9,102.07,95.03,0,294,0.28,0.49,0.24,0.00107875,0.00333844
477,21.74,4.78,3.91,69.57,50,11,9,160,230,38.65,31.15,30.2,0,54.31,43.79,42.47,0,140.568,45.89,29.09,25.02,0,105.55,66.9,57.54,0,230,1,0,0,0.00365297,0.0344274
478,21.14,1.22,1.22,76.42,52,3,3,188,246,35.82,40.42,23.77,0,27.73,31.32,18.39,0,77.44,53.12,24.43,22.45,0,130.67,60.09,55.24,0,246,1,0,0,0.00461215,0.0619837
479,27.36,21.7,15.09,35.85,58,46,32,76,212,38.66,31.13,30.21,0,124.56,100.29,97.32,0,322.169,40.67,31.49,27.85,0,86.21,66.76,59.03,0,212,0.96,0.03,0.01,0.00279139,0.0209428
480,57.61,4.94,3.7,33.74,140,12,9,82,243,65.98,17.66,16.36,0,203,54.35,50.36,0,307.707,71.7,15.14,13.16,0,174.23,36.8,31.97,0,243,1,0,0,0.011202,0.148124
481,47.59,3.01,2.41,46.99,79,5,4,78,166,41.81,34.62,23.57,0,47.32,39.25,26.74,0,113.317,68,16.41,15.6,0,112.87,27.23,25.89,0,166,1,0,0,0.00971387,0.111181
482,75.12,2.39,2.39,20.1,157,5,5,42,209,64.28,22.34,13.39,0,249.79,86.83,52.05,0,388.677,84.98,8.95,6.07,0,177.62,18.7,12.68,0,209,1,0,0,0.0226244,0.228852
483,30.99,27.23,25.82,15.96,66,58,55,34,213,37.76,33.27,28.97,0,128.57,113.28,98.65,0,340.505,36.87,31.59,31.54,0,78.53,67.29,67.19,0,213,0.7,0.15,0.15,0.00277932,0.0324518
484,74.17,8.33,5,12.5,89,10,6,15,120,67.57,16.23,16.2,0,325.83,78.28,78.13,0,482.238,79.38,12.71,7.91,0,95.26,15.25,9.49,0,120,1,0,0,0.0176023,0.121624
485,14.69,6.64,5.69,72.99,31,14,12,154,211,34.23,37.82,27.95,0,70.74,78.25,57.78,0,206.766,44.11,28.72,27.16,0,93.08,60.61,57.32,0,211,1,0,0,0.00272383,0.0369604
486,49.22,3.63,1.55,45.6,95,7,3,88,193,62.59,21.04,16.37,0,172.75,58.07,45.21,0,276.038,67.36,17.65,14.99,0,130,34.07,28.93,0,193,1,0,0,0.0148147,0.0913595
487,27.07,22.1,15.47,35.36,49,40,28,64,181,45.63,27.2,27.17,0,131.04,78.14,78.06,0,287.244,39.89,35.04,25.07,0,72.2,63.43,45.37,0,181,0.85,0.12,0.02,0.00355262,0.0153731
488,38.57,12.14,11.43,37.86,54,17,16,53,140,43.5,37.2,19.3,0,77.77,66.52,34.51,0,178.794,51.86,26.63,21.51,0,72.6,37.29,30.11,0,140,1,0,0,0.0059536,0.0295982
489,97.35,0.53,0,2.12,184,1,0,4,189,89.16,5.61,5.24,0,916.62,57.66,53.86,0,1028.147,98.05,1.23,0.72,0,185.31,2.33,1.36,0,189,1,0,0,0.066623,0.592455
490,54.51,6.15,4.92,34.43,133,15,12,84,244,42.78,29.25,27.97,0,44.68,30.58,29.29,0,104.544,70.26,15.26,14.48,0,171.43,37.23,35.34,0,244,1,0,0,0.0145036,0.15679
491,23.73,17.8,11.02,47.46,56,42,26,112,236,35.86,37.92,26.22,0,51.91,54.93,38.01,0,144.858,39.53,33.5,26.96,0,93.3,79.06,63.64,0,236,0.91,0.07,0.02,0.00389198,0.025737
492,23.53,10.86,6.79,58.82,52,24,15,130,221,36.63,38.49,24.88,0,136.57,147.99,92.82,0,377.375,46.4,27,26.6,0,102.54,59.66,58.8,0,221,1,0,0,0.003967,0.040145
493,18.72,11.33,11.33,58.62,38,23,23,119,203,47.6,27.51,24.89,0,62.63,36.17,32.73,0,131.531,44.04,30.08,25.88,0,89.41,61.05,52.54,0,203,1,0,0,0.00296316,0.0373015
494,57.14,4.76,2.72,35.37,84,7,4,52,147,55.89,23.86,20.25,0,60.41,25.83,21.91,0,108.145,70.85,15.74,13.41,0,104.15,23.14,19.71,0,147,1,0,0,0.014203,0.158094
495,96.43,3.57,0,0,54,2,0,0,56,90.67,8.16,1.17,0,413.2,37.18,5.34,0,455.713,96.43,3.57,0,0,54,2,0,0,56,1,0,0,0.0459563,0.297814
496,17.2,13.38,13.38,56.05,27,21,21,88,157,21.05,51.61,27.34,0,28.58,69.94,37.08,0,135.59,35.69,32.28,32.02,0,56.04,50.68,50.28,0,157,0.53,0.24,0.23,0.00179448,0.0055147
497,91.3,1.63,1.09,5.98,168,3,2,11,184,87.28,6.91,5.8,0,303.61,24.06,20.2,0,347.872,93.6,3.55,2.85,0,172.22,6.54,5.24,0,184,1,0,0,0.0400365,0.340411
498,82.89,3.29,2.63,11.18,126,5,4,17,152,59.12,21.9,18.98,0,98.36,36.46,31.62,0,166.444,89.09,5.8,5.11,0,135.42,8.81,7.76,0,152,1,0,0,0.031988,0.316226
499,34,32,28,6,51,48,42,9,150,43.19,29.71,27.11,0,136.44,93.86,85.65,0,315.951,36.68,35.06,28.26,0,55.02,52.6,42.38,0,150,0.55,0.35,0.1,0.003957,0.0301366
