ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
451,66,7,5,22,66,7,5,22,100,66.26,20.23,13.51,0,201.38,61.48,41.1,0,303.954,100,100,0.0263976
452,53.42,13.66,6.21,26.71,86,22,10,43,161,49.34,26.5,24.17,0,93.33,50.17,45.73,0,189.233,100,100,0.0123924
453,66.88,6.37,4.46,22.29,105,10,7,35,157,50.74,28.11,21.15,0,94.18,52.23,39.29,0,185.688,100,100,0.0273566
454,66.89,10.14,6.76,16.22,99,15,10,24,148,49.91,26.49,23.6,0,123.17,65.4,58.27,0,246.847,100,100,0.0187277
455,56.12,11.22,11.22,21.43,55,11,11,21,98,51.99,25.58,22.43,0,76.49,37.67,33,0,147.152,100,100,0.0149902
456,25,29.69,17.19,28.13,16,19,11,18,64,36.91,36.41,26.68,0,20.68,20.39,14.93,0,55.995,46.7,92,0.00558339
457,79.8,4.04,2.02,14.14,79,4,2,14,99,63.92,18.8,17.28,0,97.01,28.56,26.25,0,151.815,100,100,0.028764
458,35.88,29.01,27.48,7.63,47,38,36,10,131,46.69,30.47,22.84,0,124.68,81.37,61,0,267.049,98.4,100,0.00471047
459,51,8.5,4,36.5,102,17,8,73,200,35.51,33.84,30.65,0,31.11,29.64,26.89,0,87.641,100,100,0.0149304
460,21.74,18.36,9.66,50.24,45,38,20,104,207,34.93,35.14,29.93,0,46.72,47,40.02,0,133.748,98.2,100,0.00375741
461,22.73,11.62,7.58,58.08,45,23,15,115,198,34.57,40.63,24.8,0,101.01,124.15,72.46,0,297.619,99.6,100,0.0040835
462,21.51,15.05,8.6,54.84,40,28,16,102,186,39.96,30.61,29.42,0,82.45,63.18,60.72,0,206.344,99,100,0.00298537
463,12.67,17.33,14.67,55.33,19,26,22,83,150,44,31.32,24.68,0,55.17,39.28,30.99,0,125.429,42,100,0.00196105
464,55.56,7.41,5.19,31.85,75,10,7,43,135,67.58,17.83,14.59,0,128.22,33.85,27.7,0,189.769,100,100,0.0133034
465,96.36,3.64,0,0,53,2,0,0,55,97.14,1.81,1.05,0,378.17,7.03,4.1,0,389.308,100,100,0.0488699
466,92.41,1.9,0.63,5.06,146,3,1,8,158,87.41,6.44,6.15,0,271.12,19.99,19.07,0,310.184,100,100,0.0407493
