ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
485,14.69,6.64,5.69,72.99,31,14,12,154,211,34.3,37.59,28.11,0,70.59,77.39,57.86,0,205.841,91.5,99,0.00305563
486,49.4,3.57,2.98,44.05,83,6,5,74,168,61.99,19.47,18.54,0,184.44,57.95,55.17,0,297.55,100,100,0.016057600000000002
487,22.1,27.07,15.47,35.36,40,49,28,64,181,26.95,45.84,27.21,0,76.9,130.72,77.64,0,285.255,13.1,77,0.00222307
488,38.58,18.9,6.3,36.22,49,24,8,46,127,50.52,32.38,17.1,0,131.5,84.27,44.52,0,260.294,99.3,100,0.00633716
489,97.35,0.53,0,2.12,184,1,0,4,189,89.06,5.63,5.32,0,932.31,58.91,55.69,0,1046.908,100,100,0.0767141
490,54.51,6.15,4.92,34.43,133,15,12,84,244,42.32,30.19,27.49,0,45.29,32.33,29.46,0,107.076,100,100,0.016732
491,23.73,17.8,11.02,47.46,56,42,26,112,236,37.08,36.99,25.94,0,53.92,53.8,37.75,0,145.464,98.7,100,0.00446927
492,23.53,10.86,6.79,58.82,52,24,15,130,221,36.75,38.57,24.68,0,137.02,148.08,92.03,0,377.128,99.5,100,0.004521
493,19.51,15.12,7.32,58.05,40,31,15,119,205,36.16,34.35,29.48,0,82.09,77.97,66.94,0,227,98.9,100,0.00318205
494,13.38,17.2,13.38,56.05,21,27,21,88,157,51.84,26.94,21.22,0,70.28,36.56,28.82,0,135.646,85,100,0.00348588
495,56.72,6.72,5.97,30.6,76,9,8,41,134,64.1,22.51,13.4,0,131.51,46.22,27.5,0,205.227,100,100,0.0146689
496,96.43,3.57,0,0,54,2,0,0,56,90.77,8.02,1.22,0,404.66,35.75,5.43,0,445.836,100,100,0.0529208
497,91.3,1.63,1.09,5.98,168,3,2,11,184,87.34,6.76,5.9,0,304.37,23.57,20.58,0,348.524,100,100,0.0461241
498,82.89,3.29,2.63,11.18,126,5,4,17,152,59.13,21.61,19.26,0,97.48,35.66,31.79,0,164.93,100,100,0.0368199
499,34,32,28,6,51,48,42,9,150,43.37,29.58,27.05,0,136.54,93.11,85.18,0,314.828,94.5,100,0.00456876
